,Open,High,Low,Close,Adj Close,Volume,timeframe
2024-02-21 09:15:00+05:30,4006.75,4006.75,3985.199951171875,3985.199951171875,3985.199951171875,0.0,1m
2024-02-21 09:16:00+05:30,3984.550048828125,3997.14990234375,3983.550048828125,3995.25,3995.25,23215.0,1m
2024-02-21 09:17:00+05:30,3996.800048828125,3997.60009765625,3988.89990234375,3988.89990234375,3988.89990234375,23723.0,1m
2024-02-21 09:18:00+05:30,3988.800048828125,3999.0,3988.800048828125,3998.14990234375,3998.14990234375,12053.0,1m
2024-02-21 09:19:00+05:30,3998.199951171875,4004.449951171875,3997.85009765625,3998.199951171875,3998.199951171875,8737.0,1m
2024-02-21 09:20:00+05:30,3999.14990234375,4004.0,3997.35009765625,4003.550048828125,4003.550048828125,5869.0,1m
2024-02-21 09:21:00+05:30,4003.550048828125,4004.5,4000.25,4003.050048828125,4003.050048828125,4081.0,1m
2024-02-21 09:22:00+05:30,4002.5,4004.10009765625,4002.300048828125,4003.39990234375,4003.39990234375,5139.0,1m
2024-02-21 09:23:00+05:30,4002.5,4008.89990234375,4002.5,4008.89990234375,4008.89990234375,7916.0,1m
2024-02-21 09:24:00+05:30,4008.89990234375,4015.0,4008.699951171875,4013.699951171875,4013.699951171875,9642.0,1m
2024-02-21 09:25:00+05:30,4014.0,4026.199951171875,4014.0,4024.75,4024.75,17929.0,1m
2024-02-21 09:26:00+05:30,4025.0,4025.0,4018.5,4018.5,4018.5,11719.0,1m
2024-02-21 09:27:00+05:30,4018.199951171875,4018.949951171875,4013.300048828125,4013.300048828125,4013.300048828125,3637.0,1m
2024-02-21 09:28:00+05:30,4013.300048828125,4014.0,4011.60009765625,4012.85009765625,4012.85009765625,4189.0,1m
2024-02-21 09:29:00+05:30,4012.550048828125,4015.39990234375,4011.050048828125,4014.800048828125,4014.800048828125,2807.0,1m
2024-02-21 09:30:00+05:30,4013.949951171875,4019.949951171875,4013.949951171875,4018.0,4018.0,3681.0,1m
2024-02-21 09:31:00+05:30,4018.89990234375,4023.949951171875,4017.75,4023.050048828125,4023.050048828125,4491.0,1m
2024-02-21 09:32:00+05:30,4023.25,4025.0,4020.89990234375,4024.300048828125,4024.300048828125,3353.0,1m
2024-02-21 09:33:00+05:30,4025.0,4027.0,4025.0,4025.949951171875,4025.949951171875,3415.0,1m
2024-02-21 09:34:00+05:30,4025.5,4025.949951171875,4024.0,4024.60009765625,4024.60009765625,4742.0,1m
2024-02-21 09:35:00+05:30,4024.699951171875,4030.0,4024.699951171875,4029.949951171875,4029.949951171875,8502.0,1m
2024-02-21 09:36:00+05:30,4030.0,4032.949951171875,4029.199951171875,4031.0,4031.0,6397.0,1m
2024-02-21 09:37:00+05:30,4031.0,4034.949951171875,4028.699951171875,4034.949951171875,4034.949951171875,6748.0,1m
2024-02-21 09:38:00+05:30,4035.550048828125,4050.64990234375,4035.14990234375,4049.10009765625,4049.10009765625,20694.0,1m
2024-02-21 09:39:00+05:30,4049.449951171875,4050.300048828125,4044.199951171875,4048.10009765625,4048.10009765625,10232.0,1m
2024-02-21 09:40:00+05:30,4048.75,4048.89990234375,4041.699951171875,4047.0,4047.0,8645.0,1m
